Last	First	Position	BattingAvg
Ruiz	Carlos	Catcher	0.235
Zunino	Mike	Catcher	0.228
Cano	Robinson	Infielder	0.274
Motter	Taylor	Infielder	0.204
Seager	Kyle	Infielder	0.253
Segura	Jean	Infielder	0.332
Valencia	Danny	Infielder	0.270
Dyson	Jarrod	Outfielder	0.236
Gamel	Ben	Outfielder	0.321
Haniger	Mitch	Outfielder	0.275
Heredia	Guillermo	Outfielder	0.265
Cruz	Nelson	DH	0.285
